Date,Average 2015-2019,Diabetes
2020-01-06T05:00:00.000Z,1718,1673
2020-01-13T05:00:00.000Z,1698.4,1790
2020-01-20T05:00:00.000Z,1657.2,1702
2020-01-27T05:00:00.000Z,1634,1706
2020-02-03T05:00:00.000Z,1583.6,1662
2020-02-10T05:00:00.000Z,1605.8,1817
2020-02-17T05:00:00.000Z,1611.2,1676
2020-02-24T05:00:00.000Z,1561.2,1705
2020-03-03T05:00:00.000Z,1588,1641
2020-03-10T04:00:00.000Z,1562.6,1689
2020-03-17T04:00:00.000Z,1512.4,1572
2020-03-24T04:00:00.000Z,1501.2,1655
2020-03-31T04:00:00.000Z,1501.4,1893
2020-04-07T04:00:00.000Z,1469,2108
2020-04-14T04:00:00.000Z,1477.2,2152
2020-04-21T04:00:00.000Z,1433.2,2042
2020-04-28T04:00:00.000Z,1416.2,1862
2020-05-05T04:00:00.000Z,1458,1735
2020-05-12T04:00:00.000Z,1405.4,1772
2020-05-19T04:00:00.000Z,1354.2,1729
2020-05-26T04:00:00.000Z,1364.4,1613
2020-06-02T04:00:00.000Z,1353.4,1613
2020-06-09T04:00:00.000Z,1369,1515
2020-06-16T04:00:00.000Z,1369.2,1506
2020-06-23T04:00:00.000Z,1324.2,1492
2020-06-30T04:00:00.000Z,1345.4,1491
