Date,Average 2015-2019,Kidney
2020-01-06T05:00:00.000Z,928.4,891
2020-01-13T05:00:00.000Z,937.8,929
2020-01-20T05:00:00.000Z,939.6,995
2020-01-27T05:00:00.000Z,917.2,919
2020-02-03T05:00:00.000Z,901.4,914
2020-02-10T05:00:00.000Z,889.4,962
2020-02-17T05:00:00.000Z,885.6,855
2020-02-24T05:00:00.000Z,883.6,907
2020-03-03T05:00:00.000Z,845.8,914
2020-03-10T04:00:00.000Z,865.6,891
2020-03-17T04:00:00.000Z,865.8,869
2020-03-24T04:00:00.000Z,838.6,913
2020-03-31T04:00:00.000Z,818.8,845
2020-04-07T04:00:00.000Z,811.8,847
2020-04-14T04:00:00.000Z,796,936
2020-04-21T04:00:00.000Z,768.8,876
2020-04-28T04:00:00.000Z,797,790
2020-05-05T04:00:00.000Z,761,761
2020-05-12T04:00:00.000Z,778.4,738
2020-05-19T04:00:00.000Z,747.4,764
2020-05-26T04:00:00.000Z,729,709
